timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1772365101961,-0.37800002,-0.22905001,-9.591001,0.011825,0.08305,0.053625,Sitting
1772365101981,-0.35895002,-0.25005,-9.64305,0.011825,0.08305,0.053625,Sitting
1772365101981,-0.49605003,-0.37500003,-9.69795,0.011825,0.08305,0.053625,Sitting
1772365101981,-0.49605003,-0.37500003,-9.69795,0.01925,0.072325,0.1238875,Sitting
1772365102001,-0.69495004,-0.46995002,-9.757951,0.01925,0.072325,0.1238875,Sitting
1772365102001,-0.63000005,-0.45600003,-9.883051,0.01925,0.072325,0.1238875,Sitting
1772365102002,-0.63000005,-0.45600003,-9.883051,0.0033,0.095837496,0.23567499,Sitting
1772365102020,0.33195,-0.16095,-9.813001,0.0033,0.095837496,0.23567499,Sitting
1772365102020,1.9960501,0.11805001,-9.46395,0.0033,0.095837496,0.23567499,Sitting
1772365102021,1.9960501,0.11805001,-9.46395,-9.625E-4,0.125675,0.16005,Sitting
1772365102040,2.87895,-0.28800002,-9.30795,-9.625E-4,0.125675,0.16005,Sitting
1772365102040,1.9210501,-0.63795,-9.543,-9.625E-4,0.125675,0.16005,Sitting
1772365102040,1.9210501,-0.63795,-9.543,0.0457875,0.2778875,-0.132825,Sitting
1772365102060,0.21900001,-0.58500004,-9.885,0.0457875,0.2778875,-0.132825,Sitting
1772365102060,-0.51705,-0.21195,-10.10505,0.0457875,0.2778875,-0.132825,Sitting
1772365102060,-0.51705,-0.21195,-10.10505,0.042625,0.1692625,-0.1062875,Sitting
1772365102080,-0.17505,0.034050003,-10.069051,0.042625,0.1692625,-0.1062875,Sitting
1772365102080,0.28395,0.01905,-9.942,0.042625,0.1692625,-0.1062875,Sitting
1772365102080,0.28395,0.01905,-9.942,0.0149875,-0.01925,-0.084975,Sitting
1772365102100,0.33195,-0.17595,-9.84405,0.0149875,-0.01925,-0.084975,Sitting
1772365102100,0.26700002,-0.31905,-9.84,0.0149875,-0.01925,-0.084975,Sitting
1772365102100,0.26700002,-0.31905,-9.84,-0.0020625,-0.100237496,-0.07645,Sitting
1772365102120,0.291,-0.35505003,-9.835051,-0.0020625,-0.100237496,-0.07645,Sitting
1772365102120,0.291,-0.28605002,-9.81795,-0.0020625,-0.100237496,-0.07645,Sitting
1772365102120,0.291,-0.28605002,-9.81795,-0.0180125,-0.12155,-0.0796125,Sitting
1772365102140,0.279,-0.15900001,-9.715051,-0.0180125,-0.12155,-0.0796125,Sitting
1772365102140,0.31500003,-0.078,-9.681001,-0.0180125,-0.12155,-0.0796125,Sitting
1772365102140,0.31500003,-0.078,-9.681001,-0.0094875,-0.1034,-0.0955625,Sitting
